time,reference_position,reference_position_filtered,current_position,position_error,reference_velocity,current_velocity,feed_forward_velocity,velocity_error,integral_action,proportional_action,control_torque,
0.00253773,0,0,0,0,0,0,0,0,0,0,0,
0.00419474,0,0,0,0,0,0,0,0,3.2,0,3.2,
0.0061698,0,0,0,0,0,0,0,0,5.12,0,5.12,
0.00819898,0,0,0,0,0,0,0,0,6.272,0,6.272,
0.0102141,0,0,0,0,0,0,0,0,6.9632,0,6.9632,
0.0122108,0,0,0,0,0,0,0,0,7.37792,0,7.37792,
0.0141745,0,0,0,0,0,0,0,0,7.62675,0,7.62675,
0.01617,0,0,0,0,0,0,0,0,7.77605,0,7.77605,
0.0181386,0,0,0,0,0,0,0,0,7.86563,0,7.86563,
0.0201385,0,0,0,0,0,0,0,0,7.91938,0,7.91938,
0.022151,0,0,0,0,0,0,0,0,7.95163,0,7.95163,
0.0242236,0,0,0,0,0,0,0,0,7.97098,0,7.97098,
0.0261371,0,0,0,0,0,0,0,0,7.98259,0,7.98259,
0.0282521,0,0,0,0,0,0,0,0,7.98955,0,7.98955,
0.0301614,0,0,0,0,0,0,0,0,7.99373,0,7.99373,
0.0322819,0,0,0,0,0,0,0,0,7.99624,0,7.99624,
0.0341482,0,0,0,0,0,0,0,0,7.99774,0,7.99774,
0.0363121,0,0,0,0,0,0,0,0,7.99865,0,7.99865,
0.0381956,0,0,0,0,0,0,0,0,7.99919,0,7.99919,
0.0401995,0,0,0,0,0,0,0,0,7.99951,0,7.99951,
0.0421994,0,0,0,0,0,0,0,0,7.99971,0,7.99971,
0.0442405,0,0,0,0,0,0,0,0,7.99982,0,7.99982,
0.0461636,0,0,0,0,0,0,0,0,7.99989,0,7.99989,
0.0481608,0,0,0,0,0,0,0,0,7.99994,0,7.99994,
0.0501497,0,0,0,0,0,0,0,0,7.99996,0,7.99996,
0.0521305,0,0,0,0,0,0,0,0,7.99998,0,7.99998,
0.0541728,0,0,0,0,0,0,0,0,7.99999,0,7.99999,
0.0561297,0,0,0,0,0,0,0,0,7.99999,0,7.99999,
0.0581005,0,0,0,0,0,0,0,0,8,0,8,
0.0601625,0,0,0,0,0,0,0,0,8,0,8,
0.0621123,0,0,0,0,0,0,0,0,8,0,8,
0.064126,0,0,0,0,0,0,0,0,8,0,8,
0.0661645,0,0,0,0,0,0,0,0,8,0,8,
0.0681467,0,0,0,0,0,0,0,0,8,0,8,
